Postcode,Bedrooms,RentalUnitDesc,VUDate,VTDate,TENDate,RUUseType,HousingServiceCentre,VUDays,VTDays,TotalVAC,LGA,StateElectorate
4179,1,1 BR APARTMENT,02-03-16,18-03-16,23-03-16,RGS,109,16,5,21,BRISBANE,LYTTON
4179,1,1 BR APARTMENT,14-09-15,23-09-15,25-09-15,RGS,109,9,2,11,BRISBANE,LYTTON
4105,1,1 BR SENIOR UNIT,31-08-15,08-09-15,18-09-15,SNR,107,8,10,18,BRISBANE,YEERONGPILLY
4105,1,1 BR SENIOR UNIT,11-03-16,18-03-16,23-03-16,SNR,107,7,5,12,BRISBANE,YEERONGPILLY
4105,1,1 BR SENIOR UNIT,29-09-15,09-10-15,26-10-15,SNR,107,10,17,27,BRISBANE,YEERONGPILLY
4105,1,1 BR SENIOR UNIT,08-09-15,21-09-15,29-09-15,SNR,107,13,8,21,BRISBANE,YEERONGPILLY
4121,1,1 BR SENIOR UNIT,03-03-16,10-03-16,16-03-16,SNR,107,7,6,13,BRISBANE,GREENSLOPES
4034,1,1 BR SENIOR UNIT,05-11-15,05-11-15,05-11-15,SNR,105,0,0,0,BRISBANE,NUDGEE
4034,1,1 BR SENIOR UNIT,05-11-15,19-11-15,09-12-15,SNR,105,14,20,34,BRISBANE,NUDGEE
4034,1,1 BR SENIOR UNIT,05-08-15,20-08-15,25-08-15,SNR,105,15,5,20,BRISBANE,NUDGEE
4034,1,1 BR SENIOR UNIT,21-09-15,12-10-15,14-10-15,SNR,105,21,2,23,BRISBANE,NUDGEE
4034,1,1 BR SENIOR UNIT,18-01-16,02-02-16,08-02-16,SNR,105,15,6,21,BRISBANE,NUDGEE
4102,2,2 BR APARTMENT,28-08-15,17-09-15,21-09-15,RGS,108,20,4,24,BRISBANE,SOUTH BRISBANE
4102,1,1 BR APARTMENT,30-10-15,12-11-15,13-11-15,RGS,108,13,1,14,BRISBANE,SOUTH BRISBANE
4102,1,1 BR APARTMENT,06-01-16,22-01-16,22-01-16,RGS,108,16,0,16,BRISBANE,SOUTH BRISBANE
4102,1,1 BR APARTMENT,06-01-16,22-01-16,22-01-16,RGS,108,16,0,16,BRISBANE,SOUTH BRISBANE
4102,2,2 BR APARTMENT,11-04-16,20-04-16,26-04-16,RGS,108,9,6,15,BRISBANE,SOUTH BRISBANE
4102,2,2 BR APARTMENT,11-04-16,20-04-16,26-04-16,RGS,108,9,6,15,BRISBANE,SOUTH BRISBANE
4102,1,1 BR APARTMENT,02-11-15,11-11-15,11-11-15,RGS,108,9,0,9,BRISBANE,SOUTH BRISBANE
4102,2,2 BR APARTMENT,07-09-15,18-09-15,22-09-15,RGS,108,11,4,15,BRISBANE,SOUTH BRISBANE
4102,3,3 BR APARTMENT,19-08-15,01-09-15,02-09-15,RGS,108,13,1,14,BRISBANE,SOUTH BRISBANE
4121,1,1 BR APARTMENT,28-01-16,08-02-16,15-02-16,RGS,107,11,7,18,BRISBANE,GREENSLOPES
4169,1,1 BR APARTMENT,18-08-15,07-09-15,09-09-15,RGS,108,20,2,22,BRISBANE,SOUTH BRISBANE
4169,1,1 BR APARTMENT,28-09-15,21-10-15,22-10-15,RGS,108,23,1,24,BRISBANE,SOUTH BRISBANE
4178,3,3 BR ATTACHED HOUSING,03-05-16,20-05-16,20-05-16,RGS,109,17,0,17,BRISBANE,LYTTON
4178,2,2 BR ATTACHED HOUSING,23-05-16,08-06-16,29-06-16,RGS,109,16,21,37,BRISBANE,LYTTON
4178,2,2 BR ATTACHED HOUSING,11-08-15,24-08-15,26-08-15,RGS,109,13,2,15,BRISBANE,LYTTON
4178,2,2 BR ATTACHED HOUSING,17-08-15,02-09-15,02-09-15,RGS,109,16,0,16,BRISBANE,LYTTON
4178,2,2 BR ATTACHED HOUSING,10-05-16,03-06-16,08-06-16,RGS,109,24,5,29,BRISBANE,LYTTON
4178,3,3 BR ATTACHED HOUSING,23-11-15,09-12-15,06-01-16,RGS,109,16,28,44,BRISBANE,LYTTON
4178,3,3 BR ATTACHED HOUSING,29-06-15,10-07-15,29-07-15,RGS,109,11,19,30,BRISBANE,LYTTON
4178,2,2 BR ATTACHED HOUSING,16-11-15,27-11-15,02-12-15,RGS,109,11,5,16,BRISBANE,LYTTON
4178,2,2 BR ATTACHED HOUSING,30-05-16,08-06-16,10-06-16,RGS,109,9,2,11,BRISBANE,LYTTON
4178,2,2 BR ATTACHED HOUSING,29-09-15,08-10-15,26-10-15,RGS,109,9,18,27,BRISBANE,LYTTON
4178,2,2 BR ATTACHED HOUSING,24-03-16,05-04-16,06-04-16,RGS,109,12,1,13,BRISBANE,LYTTON
4178,3,3 BR ATTACHED HOUSING,04-02-16,23-02-16,24-02-16,RGS,109,19,1,20,BRISBANE,LYTTON
4178,3,3 BR ATTACHED HOUSING,10-09-15,18-09-15,21-09-15,RGS,109,8,3,11,BRISBANE,LYTTON
4178,2,2 BR ATTACHED HOUSING,20-07-15,31-07-15,06-08-15,RGS,109,11,6,17,BRISBANE,LYTTON
4178,2,2 BR ATTACHED HOUSING,17-08-15,25-08-15,01-09-15,RGS,109,8,7,15,BRISBANE,LYTTON
4178,2,2 BR ATTACHED HOUSING,03-07-15,22-07-15,22-07-15,RGS,109,19,0,19,BRISBANE,LYTTON
4178,3,3 BR ATTACHED HOUSING,03-03-16,14-03-16,15-03-16,RGS,109,11,1,12,BRISBANE,LYTTON
4178,3,3 BR ATTACHED HOUSING,17-05-16,17-05-16,30-05-16,RGS,109,0,13,13,BRISBANE,LYTTON
4178,2,2 BR ATTACHED HOUSING,30-10-15,30-10-15,23-11-15,RGS,109,0,24,24,BRISBANE,LYTTON
